,original_es_r,original_es_type,original_n,replication_es_r,replication_es_type,replication_n,original_doi,original_authors,original_title,original_journal,original_volume,original_issue,original_pages,original_year,replication_doi,replication_authors,replication_title,replication_journal,replication_volume,replication_issue,replication_pages,replication_year,discipline,description,tags,result,replication_citation_html,original_citation_html
676,,,,,,,10.1249/mss.0000000000000818,Michael Wälchli; Jan Ruffieux; Yann Bourquin; Martin Keller; Wolfgang Taube,Maximizing Performance,Medicine &amp; Science in Sports &amp; Exercise,48.0,4,714-719,2016.0,10.70252/nkky8370,Javad Bakhshinejad; Jasmin Hutchinson; Jennifer Murphy; Lydia Trainor; Sarah Friedman; Nicholas Coker,"The Effects of Augmented Feedback, Focus of Attention, and Monetary Reward on Vertical Jump Height: A Replication Study",International Journal of Exercise Science,18.0,7,13-26,2025.0,,,,failure,"<a href=""https://doi.org/10.70252/nkky8370"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Bakhshinejad J. <i>et al.</i> <i>International Journal of Exercise Science</i> 2025</a>","<a href=""https://doi.org/10.1249/mss.0000000000000818"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Wälchli M. <i>et al.</i> <i>Medicine &amp;amp; Science in Sports &amp;amp; Exercise</i> 2016</a>"
677,,,,,,,10.1177/0956797617721270,David Rosenbaum; Yaniv Mama; Daniel Algom,Stand by Your Stroop: Standing Up Enhances Selective Attention and Cognitive Control,Psychological Science,28.0,12,1864-1867,2017.0,10.3758/s13414-019-01723-6,Kendra C. Smith; Christopher C. Davoli; William H. Knapp; Richard A. Abrams,Standing enhances cognitive control and alters visual search,"Attention, Perception, &amp; Psychophysics",81.0,7,2320-2329,2019.0,,The magnitude of Stroop interference is markedly reduced when participants adopted a standing posture.,,success,"<a href=""https://doi.org/10.3758/s13414-019-01723-6"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Smith K. <i>et al.</i> <i>Attention, Perception, &amp;amp; Psychophysics</i> 2019</a>","<a href=""https://doi.org/10.1177/0956797617721270"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Rosenbaum D. <i>et al.</i> <i>Psychological Science</i> 2017</a>"
678,,,,,,,10.1177/0956797617721270,David Rosenbaum; Yaniv Mama; Daniel Algom,Stand by Your Stroop: Standing Up Enhances Selective Attention and Cognitive Control,Psychological Science,28.0,12,1864-1867,2017.0,10.1177/0956797620953842,Emilie E. Caron; Michael G. Reynolds; Brandon C. W. Ralph; Jonathan S. A. Carriere; Derek Besner; Daniel Smilek,Does Posture Influence the Stroop Effect?,Psychological Science,31.0,11,1452-1460,2020.0,,Posture (standing vs sitting) effects the Stroop effect.,,failure,"<a href=""https://doi.org/10.1177/0956797620953842"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Caron E. <i>et al.</i> <i>Psychological Science</i> 2020</a>","<a href=""https://doi.org/10.1177/0956797617721270"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Rosenbaum D. <i>et al.</i> <i>Psychological Science</i> 2017</a>"
679,,,,,,,10.1007/s10899-016-9662-2,Madison Stange; Candice Graydon; Mike J. Dixon,Increased Urge to Gamble Following Near-Miss Outcomes May Drive Purchasing Behaviour in Scratch Card Gambling,Journal of Gambling Studies,33.0,3,867-879,2017.0,10.1007/s10899-020-09932-7,Madison Stange; Mike J. Dixon,"Scratch Card Near-Miss Outcomes Increase the Urge to Gamble, but Do Not Impact Further Gambling Behaviour: A Pre-registered Replication and Extension",Journal of Gambling Studies,36.0,3,887-902,2020.0,,,,inconclusive,"<a href=""https://doi.org/10.1007/s10899-020-09932-7"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Stange M. <i>et al.</i> <i>Journal of Gambling Studies</i> 2020</a>","<a href=""https://doi.org/10.1007/s10899-016-9662-2"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Stange M. <i>et al.</i> <i>Journal of Gambling Studies</i> 2017</a>"
680,,,,,,,10.1177/0956797617721270,David Rosenbaum; Yaniv Mama; Daniel Algom,Stand by Your Stroop: Standing Up Enhances Selective Attention and Cognitive Control,Psychological Science,28.0,12,1864-1867,2017.0,10.1016/j.actpsy.2022.103497,Elisa Ruth Straub; Hannah Dames; Andrea Kiesel; David Dignath,Does body posture reduce the Stroop effect? Evidence from two conceptual replications and a meta-analysis,Acta Psychologica,224.0,,103497,2022.0,,Body posture effects the Stroop effect. ,,failure,"<a href=""https://doi.org/10.1016/j.actpsy.2022.103497"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Straub E. <i>et al.</i> <i>Acta Psychologica</i> 2022</a>","<a href=""https://doi.org/10.1177/0956797617721270"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Rosenbaum D. <i>et al.</i> <i>Psychological Science</i> 2017</a>"
681,,,,,,,10.1016/j.cognition.2017.06.025,Bria Long; Talia Konkle,A familiar-size Stroop effect in the absence of basic-level recognition,Cognition,168.0,,234-242,2017.0,10.1098/rsos.231240,Veronica Boyce; Maya Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,,,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1016/j.cognition.2017.06.025"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Long B. <i>et al.</i> <i>Cognition</i> 2017</a>"
682,,,,,,,10.1037/pspi0000081,Todd Rogers; Richard Zeckhauser; Francesca Gino; Michael I. Norton; Maurice E. Schweitzer,Artful paltering: The risks and rewards of using truthful statements to mislead others.,Journal of Personality and Social Psychology,112.0,3,456-473,2017.0,10.1098/rsos.231240,Veronica Boyce; Maya Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,,Individuals evaluate those who palter and those who lie by commission as being equally unethical,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1037/pspi0000081"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Rogers T. <i>et al.</i> <i>Journal of Personality and Social Psychology</i> 2017</a>"
683,,,,,,,10.1037/xge0000263,Erik C. Nook; Jessica L. Schleider; Leah H. Somerville,A linguistic signature of psychological distancing in emotion regulation.,Journal of Experimental Psychology: General,146.0,3,337-346,2017.0,10.1098/rsos.231240,Veronica Boyce; Maya Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,,,,inconclusive,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1037/xge0000263"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Nook E. <i>et al.</i> <i>Journal of Experimental Psychology: General</i> 2017</a>"
684,,,,,,,10.1177/0956797616674999,Jazmin L. Brown-Iannuzzi; Ron Dotsch; Erin Cooley; B. Keith Payne,The Relationship Between Mental Representations of Welfare Recipients and Attitudes Toward Welfare,Psychological Science,28.0,1,92-103,2017.0,10.1098/rsos.231240,Veronica Boyce; Maya Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,,,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797616674999"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Brown-Iannuzzi J. <i>et al.</i> <i>Psychological Science</i> 2017</a>"
685,,,,,,,10.1177/0956797617705399,E. Paige Lloyd; Kurt Hugenberg; Allen R. Mcconnell; Jonathan W. Kunstman; Jason C. Deska,Black and White Lies: Race-Based Biases in Deception Judgments,Psychological Science,28.0,8,1125-1136,2017.0,10.1098/rsos.231240,Veronica Boyce; Maya Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,,,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1177/0956797617705399"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Lloyd E. <i>et al.</i> <i>Psychological Science</i> 2017</a>"
686,,,,,,,10.1007/s11858-016-0819-3,Johanna Rellensmann; Stanislaw Schukajlow,Does students’ interest in a mathematical problem depend on the problem’s connection to reality? An analysis of students’ interest and pre-service teachers’ judgments of students’ interest in problems with and without a connection to reality,ZDM,49.0,3,367-378,2017.0,10.1163/26670127-bja10017,Clara García-Cerdá; Carlos Segura; Irene Ferrando,Influence of the Type of Mathematical Problems on Students’ and Pre-service Teachers’ Interest and Performance. A Replication and Elaboration Study,Implementation and Replication Studies in Mathematics Education,,,1-35,2024.0,,,,success,"<a href=""https://doi.org/10.1163/26670127-bja10017"" target=""_blank"" style=""text-decoration:none; color:inherit;"">García-Cerdá C. <i>et al.</i> <i>Implementation and Replication Studies in Mathematics Education</i> 2024</a>","<a href=""https://doi.org/10.1007/s11858-016-0819-3"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Rellensmann J. <i>et al.</i> <i>ZDM</i> 2017</a>"
687,,,,,,,10.1073/pnas.1607330114,Bobby K. Cheon; Ying-Yi Hong,Mere experience of low subjective socioeconomic status stimulates appetite and food intake,Proceedings of the National Academy of Sciences,114.0,1,72-77,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,failure,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1607330114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Cheon B. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
688,,,,,,,10.1073/pnas.1616921114,Matthew Chao,Demotivating incentives and motivation crowding out in charitable giving,Proceedings of the National Academy of Sciences,114.0,28,7301-7306,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,success,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1616921114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Chao M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
689,,,,,,,10.1073/pnas.1620542114,Ana I. Gheorghiu; Mitchell J. Callan; William J. Skylark,Facial appearance affects science communication,Proceedings of the National Academy of Sciences,114.0,23,5970-5975,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,success,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1620542114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Gheorghiu A. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
690,,,,,,,10.1073/pnas.1701916114,Oliver Genschow; Davide Rigoni; Marcel Brass,Belief in free will affects causal attributions when judging others’ behavior,Proceedings of the National Academy of Sciences,114.0,38,10071-10076,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,success,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1701916114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Genschow O. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
691,,,,,,,10.1073/pnas.1704032114,Adam Morris; James Macglashan; Michael L. Littman; Fiery Cushman,Evolution of flexibility and rigidity in retaliatory punishment,Proceedings of the National Academy of Sciences,114.0,39,10396-10401,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,success,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1704032114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Morris A. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
692,,,,,,,10.1073/pnas.1705238114,Tage S. Rai; Piercarlo Valdesolo; Jesse Graham,"Dehumanization increases instrumental violence, but not moral violence",Proceedings of the National Academy of Sciences,114.0,32,8511-8516,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,success,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1705238114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Rai T. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
693,,,,,,,10.1073/pnas.1706253114,Leslie Mccall; Derek Burk; Marie Laperrière; Jennifer A. Richeson,Exposure to rising inequality shapes Americans’ opportunity beliefs and policy support,Proceedings of the National Academy of Sciences,114.0,36,9593-9598,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,success,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1706253114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Mccall L. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
694,,,,,,,10.1073/pnas.1706913114,Reto Hofstetter; Roland Rüppell; Leslie K. John,Temporary sharing prompts unrestrained disclosures that leave lasting negative impressions,Proceedings of the National Academy of Sciences,114.0,45,11902-11907,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,success,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1706913114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Hofstetter R. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
695,,,,,,,10.1073/pnas.1707040114,Crystal Reeck; Daniel Wall; Eric J. Johnson,Search predicts and changes patience in intertemporal choice,Proceedings of the National Academy of Sciences,114.0,45,11890-11895,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,failure,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1707040114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Reeck C. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
696,,,,,,,10.1073/pnas.1707719114,Michael W. Kraus; Julian M. Rucker; Jennifer A. Richeson,Americans misperceive racial economic equality,Proceedings of the National Academy of Sciences,114.0,39,10324-10331,2017.0,10.1038/s41562-024-02062-9,Felix Holzmeister; Magnus Johannesson; Colin F. Camerer; Yiling Chen; Teck-Hua Ho; Suzanne Hoogeveen; Juergen Huber; Noriko Imai; Taisuke Imai; Lawrence Jin; Michael Kirchler; Alexander Ly; Benjamin Mandl; Dylan Manfredi; Gideon Nave; Brian A. Nosek; Thomas Pfeiffer; Alexandra Sarafoglou; Rene Schwaiger; Eric-Jan Wagenmakers; Viking Waldén; Anna Dreber,Examining the replicability of online experiments selected by a decision market,Nature Human Behaviour,9.0,2,316-330,2024.0,,,,success,"<a href=""https://doi.org/10.1038/s41562-024-02062-9"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Holzmeister F. <i>et al.</i> <i>Nature Human Behaviour</i> 2024</a>","<a href=""https://doi.org/10.1073/pnas.1707719114"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Kraus M. <i>et al.</i> <i>Proceedings of the National Academy of Sciences</i> 2017</a>"
697,,,,,,,10.1145/3105726.3106182,Stephen H. Edwards; Nischel Kandru; Mukund B.M. Rajagopal,Investigating Static Analysis Errors in Student Java Programs,Proceedings of the 2017 ACM Conference on International Computing Education Research,,,65-73,2017.0,10.1145/3649217.3653545,David Liu; Jonathan Calver; Michelle Craig,Are a Static Analysis Tool Study's Findings Static? A Replication,Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1,,,80-86,2024.0,,The frequency of coding flaws identified by the static analysis tool correlates to program correctness.,,success,"<a href=""https://doi.org/10.1145/3649217.3653545"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Liu D. <i>et al.</i> <i>Proceedings of the 2024 on Innovation and Technology in Computer Science Education V. 1</i> 2024</a>","<a href=""https://doi.org/10.1145/3105726.3106182"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Edwards S. <i>et al.</i> <i>Proceedings of the 2017 ACM Conference on International Computing Education Research</i> 2017</a>"
698,,,,,,,10.1002/smj.2585,Brian T. Mccann; Mona Bahl,The influence of competition from informal firms on new product development,Strategic Management Journal,38.0,7,1518-1535,2017.0,10.1177/27550311251323281,Athina Skiadopoulou; Sandra Mortal; Vishal K. Gupta,Does competition from informal firms impact new product development? Systematic replication and extension of McCann and Bahl (2017),Journal of Management Scientific Reports,3.0,2,151-195,2025.0,,,,success,"<a href=""https://doi.org/10.1177/27550311251323281"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Skiadopoulou A. <i>et al.</i> <i>Journal of Management Scientific Reports</i> 2025</a>","<a href=""https://doi.org/10.1002/smj.2585"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Mccann B. <i>et al.</i> <i>Strategic Management Journal</i> 2017</a>"
699,,,,,,,10.1016/j.obhdp.2018.10.004,Sean Fath; Aaron C. Kay,"“If hierarchical, then corrupt”: Exploring people’s tendency to associate hierarchy with corruption in organizations",Organizational Behavior and Human Decision Processes,149.0,,145-164,2018.0,10.31234/osf.io/68jft,Thomas Rhys Evans; Renata Kviatkovskyte; Susannah O'Regan; Shernay A Adolph; Nishat; Floriana O Nkagbu Chukwudi; Tereza Wildova; Maja Krzan,Corruption and Hierarchy: A Replication of Studies 1c and 6 of Fath &amp;amp; Kay 2018,,,,,2024.0,,"Taller organizational structures are associated with greater perceived potential for cor-
ruption, and that these perceptions may compromise subsequent trust-related outcomes.",,success,"<a href=""https://doi.org/10.31234/osf.io/68jft"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Evans T. <i>et al.</i> <i></i> 2024</a>","<a href=""https://doi.org/10.1016/j.obhdp.2018.10.004"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Fath S. <i>et al.</i> <i>Organizational Behavior and Human Decision Processes</i> 2018</a>"
700,,,,,,,10.1038/s41598-018-31129-7,Michael E. R. Nicholls; Owen Churches; Tobias Loetscher,Perception of an ambiguous figure is affected by own-age social biases,Scientific Reports,8.0,1,12661,2018.0,10.1038/s41598-021-88139-1,Ambroos Brouwer; Xuxi Jin; Aisha Humaira Waldi; Steven Verheyen,Age biases the judgment rather than the perception of an ambiguous figure,Scientific Reports,11.0,1,8627,2021.0,,,,inconclusive,"<a href=""https://doi.org/10.1038/s41598-021-88139-1"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Brouwer A. <i>et al.</i> <i>Scientific Reports</i> 2021</a>","<a href=""https://doi.org/10.1038/s41598-018-31129-7"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Nicholls M. <i>et al.</i> <i>Scientific Reports</i> 2018</a>"
701,,,,,,,10.1016/j.jesp.2018.05.006,Harry T. Reis; Karisa Y. Lee; Stephanie D. O'Keefe; Margaret S. Clark,Perceived partner responsiveness promotes intellectual humility,Journal of Experimental Social Psychology,79.0,,21-33,2018.0,10.1098/rsos.231240,Veronica Boyce; Maya Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,,,,failure,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1016/j.jesp.2018.05.006"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Reis H. <i>et al.</i> <i>Journal of Experimental Social Psychology</i> 2018</a>"
702,,,,,,,10.1093/poq/nfx042,Brian F Schaffner; Samantha Luks,Misinformation or Expressive Responding?,Public Opinion Quarterly,82.0,1,135-147,2018.0,10.1525/collabra.68054,Robert M. Ross; Neil Levy,Expressive Responding in Support of Donald Trump: An Extended Replication of Schaffner and Luks (2018),Collabra: Psychology,9.0,1,,2023.0,,,,success,"<a href=""https://doi.org/10.1525/collabra.68054"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Ross R. <i>et al.</i> <i>Collabra: Psychology</i> 2023</a>","<a href=""https://doi.org/10.1093/poq/nfx042"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Schaffner B. <i>et al.</i> <i>Public Opinion Quarterly</i> 2018</a>"
703,,,,,,,10.1111/cogs.12605,Nadya Vasilyeva; Thomas Blanchard; Tania Lombrozo,Stable Causal Relationships Are Better Causal Relationships,Cognitive Science,42.0,4,1265-1296,2018.0,10.1098/rsos.231240,Veronica Boyce; Maya Mathur; Michael C. Frank,Eleven years of student replication projects provide evidence on the correlates of replicability in psychology,Royal Society Open Science,10.0,11,231240,2023.0,,,,success,"<a href=""https://doi.org/10.1098/rsos.231240"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Boyce V. <i>et al.</i> <i>Royal Society Open Science</i> 2023</a>","<a href=""https://doi.org/10.1111/cogs.12605"" target=""_blank"" style=""text-decoration:none; color:inherit;"">Vasilyeva N. <i>et al.</i> <i>Cognitive Science</i> 2018</a>"
