"description","tags","osf_link","result","ref_original","ref_replication"
"prosocials have a higher level of secure attachment than individualists","social value orientation (TDM); secure attachment (AAS); sample 2","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than competitors","social value orientation (SLM); secure attachment (ECR-R); sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than competitors","social value orientation (SLM); secure attachment (original); sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than competitors","social value orientation (SLM); secure attachment (AAS); sample 1","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than individualists","social value orientation (SLM); secure attachment (ECR-R); sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than individualists","social value orientation (SLM); secure attachment (original); sample 1","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than individualists","social value orientation (SLM); secure attachment (AAS); sample 1","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than competitors","social value orientation (TDM); secure attachment (ECR-R); sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than competitors","social value orientation (TDM); secure attachment (original); sample 1","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than competitors","social value orientation (TDM); secure attachment (AAS); sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than individualists","social value orientation (TDM); secure attachment (ECR-R); sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than individualists","social value orientation (TDM); secure attachment (original); sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have a higher level of secure attachment than individualists","social value orientation (TDM); secure attachment (AAS); sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 1","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more older siblings than competitors","social value orientation (SLM); older siblings; sample 2","https://osf.io/g9b7c/","OS not significant","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more older siblings than individualists","social value orientation (SLM); older siblings; sample 2","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more sisters than competitors","social value orientation (SLM); sister; sample 2","https://osf.io/g9b7c/","Failure (reversal)","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more sisters than individualists","social value orientation (SLM); sister; sample 2","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more siblings than competitors","social value orientation (SLM); total siblings; sample 2","https://osf.io/g9b7c/","Failure (reversal)","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more siblings than individualists","social value orientation (SLM); total siblings; sample 2","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more older siblings than competitors","social value orientation (TDM); older siblings; sample 2","https://osf.io/g9b7c/","OS not significant","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more older siblings than individualists","social value orientation (TDM); older siblings; sample 2","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more sisters than competitors","social value orientation (TDM); sister; sample 2","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more sisters than individualists","social value orientation (TDM); sister; sample 2","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more siblings than competitors","social value orientation (TDM); total siblings; sample 2","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more siblings than individualists","social value orientation (TDM); total siblings; sample 2","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more older siblings than competitors","social value orientation (SLM); older siblings; sample 1","https://osf.io/g9b7c/","OS not significant","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more older siblings than individualists","social value orientation (SLM); older siblings; sample 1","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more sisters than competitors","social value orientation (SLM); sister; sample 1","https://osf.io/g9b7c/","Failure (reversal)","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more sisters than individualists","social value orientation (SLM); sister; sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more siblings than competitors","social value orientation (SLM); total siblings; sample 1","https://osf.io/g9b7c/","Failure (reversal)","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more siblings than individualists","social value orientation (SLM); total siblings; sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more older siblings than competitors","social value orientation (TDM); older siblings; sample 1","https://osf.io/g9b7c/","OS not significant","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more older siblings than individualists","social value orientation (TDM); older siblings; sample 1","https://osf.io/g9b7c/","Failure","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more sisters than competitors","social value orientation (TDM); sister; sample 1","https://osf.io/g9b7c/","Failure (reversal)","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more sisters than individualists","social value orientation (TDM); sister; sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more siblings than competitors","social value orientation (TDM); total siblings; sample 1","https://osf.io/g9b7c/","Failure (reversal)","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"prosocials have more siblings than individualists","social value orientation (TDM); total siblings; sample 1","https://osf.io/g9b7c/","Success","Van Lange, P. A. M., De Bruin, E., Otten, W., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73(4), 733–746.  Study 3","Liu, Y., Wang, B., & Van Lange, P. a. M. (2022). The development of social value orientation: Attachment styles, number of siblings, age, and a comparison of measures. European Journal of Personality, 37(4), 402–417."
"Social value orientation and family size","Many Labs 2","https://osf.io/8cd4r/","Failure","Van Lange, P. A. M., Otten, W., De Bruin, E. M. N., & Joireman, J. A. (1997). Development of prosocial, individualistic, and competitive orientations: Theory and preliminary evidence. Journal of Personality and Social Psychology, 73, 733–746.  Study 3","Klein, R. A., Vianello, M., Hasselman, F., Adams, B. G., Adams Jr, R. B., Alper, S., ... & Sowden, W. (2018). Many Labs 2: Investigating variation in replicability across samples and settings. Advances in Methods and Practices in Psychological Science, 1(4), 443-490."
"This study examines the hypothesis that a “product would be perceived as more efficacious when represented [in an advertisement] by multiple product replicates (vs. a single product).","entitativity, product quantity, perceived efficacy","https://aspredicted.org/n5tu8.pdf","OS not significant","VanBergen, N., Irmak, C., & Sevilla, J. (2020). Product Entitativity: How the Presence of Product Replicates Increases Perceived and Actual Product Efficacy. Journal of Consumer Research, 47, 192-214. Study 1","Simmons, J. &. Nelson, L.D. (2020). [90] Data Replicada #7: Does Displaying Multiple Copies of a Product Increase Its Perceived Effectiveness? Data Colada. (Replication 3)"
"This study examines the hypothesis that a “product would be perceived as more efficacious when represented [in an advertisement] by multiple product replicates (vs. a single product).","entitativity, product quantity, perceived efficacy","https://aspredicted.org/pw4tv.pdf","OS not significant","VanBergen, N., Irmak, C., & Sevilla, J. (2020). Product Entitativity: How the Presence of Product Replicates Increases Perceived and Actual Product Efficacy. Journal of Consumer Research, 47, 192-214. Study 1","Simmons, J. &. Nelson, L.D. (2020). [90] Data Replicada #7: Does Displaying Multiple Copies of a Product Increase Its Perceived Effectiveness? Data Colada. (Replication 2)"
"This study examines the hypothesis that a “product would be perceived as more efficacious when represented [in an advertisement] by multiple product replicates (vs. a single product).","entitativity, product quantity, perceived efficacy","https://aspredicted.org/gi726.pdf","OS not significant","VanBergen, N., Irmak, C., & Sevilla, J. (2020). Product Entitativity: How the Presence of Product Replicates Increases Perceived and Actual Product Efficacy. Journal of Consumer Research, 47, 192-214. Study 1","Simmons, J. &. Nelson, L.D. (2020). [90] Data Replicada #7: Does Displaying Multiple Copies of a Product Increase Its Perceived Effectiveness? Data Colada. (Replication 1)"
"Participants reported higher need satisfaction in experiences of pursuing hopes than in experiences of pursuing duties (need for relatedness)","Regulatory focus theory, Self-determination theory, Need satisfaction, Need support, Goals and motivation","https://osf.io/m2cyn/","Success","Vaughn, L. A. (2017b). Foundational tests of the need support model: A framework for bridging regulatory focus theory and self-determination theory. Personality and Social Psychology Bulletin, 43, 313–328. , Combined sample of Studies 1a-1c","Vaughn, L. A. (2019). Distinguishing Between Need Support and Regulatory Focus with LIWC. Collabra, 5(1). (Analyses of Study 2 reported in Footnote 4)"
"Participants reported higher need satisfaction in experiences of pursuing hopes than in experiences of pursuing duties (need for competence)","Regulatory focus theory, Self-determination theory, Need satisfaction, Need support, Goals and motivation","https://osf.io/m2cyn/","Success","Vaughn, L. A. (2017b). Foundational tests of the need support model: A framework for bridging regulatory focus theory and self-determination theory. Personality and Social Psychology Bulletin, 43, 313–328. , Combined sample of Studies 1a-1c","Vaughn, L. A. (2019). Distinguishing Between Need Support and Regulatory Focus with LIWC. Collabra, 5(1). (Analyses of Study 2 reported in Footnote 4)"
"Participants reported higher need satisfaction in experiences of pursuing hopes than in experiences of pursuing duties (need for autonomy)","Regulatory focus theory, Self-determination theory, Need satisfaction, Need support, Goals and motivation","https://osf.io/m2cyn/","Success","Vaughn, L. A. (2017b). Foundational tests of the need support model: A framework for bridging regulatory focus theory and self-determination theory. Personality and Social Psychology Bulletin, 43, 313–328. , Combined sample of Studies 1a-1c","Vaughn, L. A. (2019). Distinguishing Between Need Support and Regulatory Focus with LIWC. Collabra, 5(1). (Analyses of Study 2 reported in Footnote 4)"
"Women’s reactions to sexual stimuli vary with market factors","","https://osf.io/xwn9m/","Failure","Vohs, K. D., Sengupta, J., & Dahl, D. W. (2014). The price had better be right: Women’s reactions to sexual stimuli vary with market factors. Psychological science, 25(1), 278-283.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Measuring the crowd within: Probabilistic representations within individuals.","Crowding, Humans, Models, Statistical","https://osf.io/ivfu6/","Success","Vul, E., & Pashler, H. (2008). Measuring the crowd within: Probabilistic representations within individuals. Psychological Science, 19, 645-647.","steegen, sara, vanpaemel, wolf, tuerlinckx, francis, & Dewitte, L. (2023, September 28). Replication of Vul & Pashler (Psych Science, 2008). Retrieved from osf.io/ivfu6"
"Temporal selection is suppressed, delayed, and diffused during the attentional blink.","Adolescent, Adult, Attentional Blink, Cues, Female, Humans, Inhibition (Psychology), Male, Pattern Recognition, Visual, Probability, Reaction Time, Serial Learning, Time Perception","https://osf.io/rzjvn/","OS not significant","Vul, E., Nieuwenstein, M., & Kanwisher, N. (2008). Temporal selection is suppressed, delayed, and diffused during the attentional blink. Psychological Science, 19(1), 55-61.","Barnett-Cowan, M. (2023, September 28). Replication of Vul et al (2008, PS, Study 1). Retrieved from osf.io/rzjvn"
"Low likehood have effect on abstract construal (Trial 2)","probability, likehood, construal level theory, psychological distance, abstract","https://osf.io/xumwa","Failure","Wakslak, C. J., Trope, Y., Liberman, N., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology: General, 135(4), 641–653.","Calderon, S., Mac Giolla, E., Ask, K., & Granhag, P. A. (2020). Subjective likelihood and the construal level of future events: A replication study of Wakslak, Trope, Liberman, and Alony (2006). Journal of Personality and Social Psychology, 119(5), e27–e37."
"More unlikely future events are more abstractly construed. (Trial 1)","construal level theory, psychological distance, likehood, probability, abstract","https://osf.io/x4va5","Failure","Wakslak, C. J., Trope, Y., Liberman, N., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology: General, 135(4), 641–653.","Calderon, S., Mac Giolla, E., Ask, K., & Granhag, A. (2020, April 23). Subjective Likelihood and the Construal Level of Future Events: A Replication Study of Wakslak, Trope, Liberman, and Alony (2006)."
"Visual cues of portion size influence food intake; participants who unknowingly ate from self-refilling bowls ate more soup than did participants eating from normal (not self-refilling) bowls.","consumption norms, eating behavior, visual cues, portion size,","https://osf.io/8q647/","Success","Wansink, B., Painter, J. E., & North, J. (2005). Bottomless bowls: why visual cues of portion size may influence intake. Obesity research, 13(1), 93-100.","Lopez, A., Choi, A. K., Dellawar, N. C., Cullen, B. C., Avila Contreras, S., Rosenfeld, D. L., & Tomiyama, A. J. (2023). Visual cues and food intake: A preregistered replication of Wansink et al.(2005). Journal of Experimental Psychology: General. Advance online publication."
"The mere presence of one’s own smartphone may occupy limited-capacity cognitive resources, thereby leaving fewer resources available for other tasks and undercutting cognitive performance","","https://osf.io/ubys7/","Failure","Ward, A. F., Duke, K., Gneezy, A., & Bos, M. W. (2017). Brain drain: The mere presence of one’s own smartphone reduces available cognitive capacity. Journal of the Association for Consumer Research, 2(2), 140-154. Study 2","Pardo, A. C. R., & Minda, J. P. (2022). Reexamining the “brain drain” effect: A replication of Ward et al.(2017). Acta Psychologica, 230, 103717."
"Accounting for occurrences: A new view of the use of contingency information in causal judgment.","Association Learning, Causality, Humans, Judgment, Likelihood Functions, Probability Learning, Problem Solving","https://osf.io/rhbqj/","Success","White, P.A. (2008). Accounting for Occurrences: A New View of the Use of Contingency Information in Causal Judgment. Journal of Experimental Psychology: Learning, Memory, and Cognition, 34(1), 204–218.","Müller, S. M., & Renkewitz, F. (2023, September 28). Replication of White (2008, JEP:LMC, Study 3). Retrieved from osf.io/rhbqj"
"Racial progress as threat to the status hierarchy","","https://osf.io/xwn9m/","OS not significant","Wilkins, C. L., & Kaiser, C. R. (2014). Racial progress as threat to the status hierarchy: Implications for perceptions of anti-White bias. Psychological science, 25(2), 439-446.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
"Keeping one's distance: The influence of spatial distance cues on affect and evaluation.","Adult, Affect, Cues, Culture, Dangerous Behavior, Energy Intake, Female, Food Habits [psychology], Humans, Judgment, Male, Object Attachment, Personal Space, Reading, Self-Assessment, Social Facilitation, Social Perception, Violence [psychology]","https://osf.io/vnsqg/","Failure","Williams, L. E. & Bargh, J. A. (2008). Keeping one’s distance: The influence of spatial distance cues on affect and evaluation. Psychological Science, 19, 302 – 308.","Joy-Gaba, J. A., Clay, R., & Cleary, H. (2023, September 28). Replication of Williams & Bargh (2008, PS, Study 4). Retrieved from osf.io/vnsqg"
"participants typically do not enjoy spending 6 to 15 minutes in a room by themselves with nothing to do but think","Social Science Replication Project, Science, Nature, Human Behavior","https://osf.io/pfdyw/","Success","Wilson, T. D., Reinhard, D. A., Westgate, E. C., Gilbert, D. T., Ellerbeck, N., Hahn, C., ... & Shaked, A. (2014). Just think: The challenges of the disengaged mind. Science, 345(6192), 75-77.","Camerer, C. F., Dreber, A., Holzmeister, F., Ho, T. H., Huber, J., Johannesson, M., ... & Wu, H. (2018). Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015. Nature human behaviour, 2(9), 637-644."
"Cheating more when the spoils are split","","https://osf.io/xwn9m/","OS not significant","Wiltermuth, S. S. (2011). Cheating more when the spoils are split. Organizational Behavior and Human Decision Processes, 115(2), 157-168.","Boyce, V., Mathur, M., & Frank, M. C. (2023). Eleven years of student replication projects provide evidence on the correlates of replicability in psychology. Royal Society Open Science, 10(11), 231240."
